datetime,text
2020-10-05 10:05:02,Streit in Italien: Neapel droht mit Klage nach skurrilem Spielausfall
2020-10-05 17:05:02,"NRW, Ba-Wü, Bayern, Hessen - Wieder Warnstreiks im Nahverkehr!"
2020-10-05 15:00:01,"Coronavirus: Der Doktor, der Trump gesund redet"
2020-10-05 10:15:02,Landesregierung macht keine Ausnahme für Grünen-Chef Habeck
2020-10-05 10:00:01,Männliche Pädagogen an Schulen im Südwesten in der Minderheit
2020-10-05 13:55:02,"Ernährung, Training, Motivation - Jetzt bloß keinen Winterspeck ansetzen!"
2020-10-05 17:45:02,Sie ist mehrere hundert Jahre alt - Wir fanden eine echte Kanonenkugel im Garten
2020-10-05 06:45:02,„Sommerhaus der Stars“ im News-Ticker - &#034;Sommerhaus der Stars&#034;: Bachelor-Pärchen gibt die beleidigten Verlierer
2020-10-05 19:55:02,Messer-Mord in Dresden - Zeuge Farid: „Ich sah einen blutüberströmten Mann“
2020-10-05 16:00:02,Drese will Länder-Mitsprache bei Spahns Pflege-Reformplänen
2020-10-05 08:00:03,Held von der A1 wird ausgezeichnet
2020-10-05 13:50:01,Von Lautern nach Aue - Jonjic vor Unterschrift beim FC Erzgebirge
2020-10-05 08:05:02,50 Fans prügeln sich - Massenschlägerei nach Eishockey-Spiel
2020-10-05 08:15:01,Öffentlicher Dienst setzt Warnstreiks fort
2020-10-05 09:55:01,Torjäger kommt aus Mannheim - Shala stürmt zum Chemnitzer FC
2020-10-05 05:15:03,Kritik an Trump-Ausfahrt trotz Corona-Infektion
2020-10-05 07:35:01,Mann läuft mit Hund vor Auto: Herrchen und Tier sterben
2020-10-05 07:15:01,München: Adipositas-Sprechstunde hilft Hunden und Katzen
2020-10-05 10:35:01,Kalayci bedauert Einstufung als Risikogebiet für Bezirke
2020-10-05 12:25:01,Ehefrau erwürgt und Leiche vergraben: Lebenslange Haft
2020-10-05 13:55:02,Transfermarkt: Mees wechselt von Union Berlin zu Holstein Kiel
2020-10-05 06:55:02,Schon zum 4. Mal - Rücken! Maina sagt U21 ab
2020-10-05 02:15:03,Festnahmen bei Protesten in Israel
2020-10-05 02:25:02,Nobelpreisreigen beginnt mit Bekanntgabe der Medizin-Preisträger
2020-10-05 09:40:01,Furchtbarer Unfall in Moers (NRW) - Mann und Hund beim Spaziergang totgefahren
2020-10-05 16:35:02,Angriff vor Synagoge: Attentäter von Hamburg in Psychiatrie untergebracht
2020-10-05 10:00:03,"Die Corona-Trends des Tages - &#034;Maximale Alarmstufe&#034;: Grafiken zeigen, wie Paris zum Hotspot wird"
2020-10-05 18:45:01,Senatschef Müller bringt Alkoholverbot ins Gespräch
2020-10-05 14:40:04,Tourist aus NRW stirbt nach Angriff in Dresdner Innenstadt
2020-10-05 07:35:01,Hamburg: Antisemitischer Angriff vor Synagoge
2020-10-05 05:45:01,Tier-Segnung in Tonndorf - Gebet und Gebell
2020-10-05 14:20:02,Jetzt bleibt nur noch Deutschland – Hier finden Sie noch bezahlbaren Urlaub
2020-10-05 21:45:01,Wieder im Fernsehen - Pan Tau will bei uns zaubern
2020-10-05 04:15:01,Hochschulen: Mix aus Online- und Präsenzkursen
2020-10-05 14:45:01,Halteverbot: Klage gegen Abschleppkosten kann Erfolg haben
2020-10-05 17:25:03,„Die Männer wollten uns nicht dabeihaben“
2020-10-05 11:50:01,Bayerische Kinobetreiber befürchten beispielloses Kinosterben
2020-10-05 17:10:01,Mitten in Bayern: Keine Zeit für Kängurus
2020-10-05 10:10:01,"Großbritannien: Heiko Maas nennt No-Deal-Brexit ""völlig unverantwortlich"""
2020-10-05 09:35:03,„Gibt einer alternden Gesellschaft Sicherheit und Halt“
2020-10-05 10:35:02,"„Ich verdien‘ ganz gut, als reich würde ich mich nicht empfinden“"
2020-10-05 15:15:03,„Deutschland ist im Durchschnittsalter eines der ältesten Länder der Welt“
2020-10-05 08:25:02,Warum Afrika ein neues Finanzsystem braucht
2020-10-05 10:50:07,Liveblog: ++ Erneut Ausbruch in Schlachthof ++
2020-10-05 12:05:02,"Newsblog zum Coronavirus im Landkreis Freising: Keine Kirchweihdult, kein verkaufsoffener Sonntag"
2020-10-05 15:35:03,Fans fordern Entschuldigung - &#034;Religion ist keine Ästhetik“: Rihanna erntet für Dessous-Show harte Kritik
2020-10-05 19:00:02,„Möchte eine reaktion sehen“ - Trainer Schnorrenberg macht Druck
2020-10-05 08:20:02,So ist die Ausstellung „L’Exhibitioniste“ von Christian Louboutin
2020-10-05 09:35:01,"""Schweinestau"" verursacht schwere Krise in Schlachthöfen"
2020-10-05 17:25:02,Abgang bei St. Pauli - Magdeburg leiht sich Franzke
2020-10-05 05:15:01,Glatthaie in Stralsund dürfen wieder Nachwuchs bekommen
2020-10-05 12:35:02,Nach 1:6-Debakel gegen Spurs - Evra rechnet mit Ex-Klub ManUnited ab
2020-10-05 05:00:03,News zur Pandemie - Corona: Mehr als 1300 Neuinfektionen in Deutschland - Paris vor &#034;maximaler Alarmstufe&#034;
2020-10-05 10:10:03,Congstar X - Congstar X mit 200 Gbyte LTE: Mega-Tarif macht Festnetz-Tarifen Konkurrenz
2020-10-05 11:30:02,"Innensenator Grote: Antisemitische Gefahr ""allgegenwärtig"""
2020-10-05 16:40:02,Aktien Europa Schluss: Trump erholt - Aktienmarkt auch
2020-10-05 13:50:01,Hunde reißen Rehkitze: Halter ermittelt
2020-10-05 20:10:05,Trump wird Klinik am Montag verlassen
2020-10-05 16:15:01,Mann in Zirkus-Sommerlager von weißem Tiger gebissen
2020-10-05 15:35:02,ARD-Serie „Parlament“ über die EU: Im Haifischbecken
2020-10-05 14:15:02,Bielefeld leiht Arne Maier von Hertha BSC
2020-10-05 16:15:01,SZ Espresso: Nachrichten kompakt - die Übersicht für Eilige
2020-10-05 18:15:02,Vor dem Treffen mit Kanzlerin Merkel - Tichanowskaja spricht zu ihren Anhängern in Berlin
2020-10-05 12:50:01,Ermittlungen gegen Agentur des angeklagten Hilfspflegers
2020-10-05 12:40:01,St. Pauli-Zugang Burgstaller will sich schnell integrieren
2020-10-05 17:55:03,Schäuble erlässt Maskenpflicht im Bundestag
2020-10-05 07:55:02,Gute Nachricht für Pendler rund um Mülheim - A40 nach Tanklaster-Brand wieder frei
2020-10-05 15:00:01,Verdi droht mit Warnstreiks an Airports Köln und Düsseldorf
2020-10-05 11:50:01,Schiri-Hetzjagd: Angeklagte zu Geldstrafen verurteilt
2020-10-05 09:45:02,Nobelpreis für Medizin geht an drei Wissenschaftler für Entdeckung von Hepatitis-C
2020-10-05 02:25:02,Der Held von der A1 – „Ich würde es nochmal so machen“
2020-10-05 19:20:03,Sean Conley: Trumps Leibarzt in Erklärungsnot
2020-10-05 12:20:01,Ägyptische Statuetten lagen vier Jahre in Asservatenkammer
2020-10-05 16:05:02,Extinction Rebellion in Berlin: Sich sitzend widersetzen
2020-10-05 13:45:02,Nachruf auf Kenzo Takada: Ein Nomade in Paris
2020-10-05 12:00:02,Welche Zahnfüllung am verträglichsten ist
2020-10-05 16:10:02,Hamburg: Mutmaßlicher Angreifer in Psychiatrie eingewiesen
2020-10-05 16:00:02,Aktien Frankfurt Schluss: Trumps Genesungsprozess treibt den Dax nach oben
2020-10-05 13:30:02,Nagelbombe im Zug nach Köln war nicht scharf - Täter wollte offenbar Angst schüren
2020-10-05 08:05:02,Corona-Pandemie: 300.000 Fälle und kein Ende in Sicht
2020-10-05 12:25:01,"Fegebank: ""Antisemitismus ist ein Thema,  das alle betrifft"""
2020-10-05 07:05:02,Tichanowskaja: Die eigentliche Präsidentin von Belarus?
2020-10-05 23:20:02,Nach Corona-Behandlung - Donald Trump zurück im Weißen Haus
2020-10-05 17:10:01,Transfermarkt: Hertha BSC holt Alderete und Guendouzi - Rekik nach Sevilla
2020-10-05 17:25:03,"Zusätzlich 54 Monate Gefängnis - 19 Jahre lang gestohlen – jetzt muss Diebin 3,8 Millionen Dollar zurückzahlen"
2020-10-05 14:45:01,Wegen infiziertem Mitarbeiter - Corona-Verdacht bei Ösi-Kanzler Kurz
2020-10-05 15:20:01,Jüdische Gemeinde: Brauchen Antisemitismus-Beauftragten
2020-10-05 11:55:02,Videokonferenz zu Libyen: Vertrauen schaffen zwischen Feinden
2020-10-05 06:20:01,"""Bild"": Hertha BSC vor Leihe von Matteo Guendouzi"
2020-10-05 07:25:02,Greg Van Avermaet: Verletzungen nach Sturz bei Rad-Klassiker
2020-10-05 15:25:02,Transfer-Ticker - Grujic-Wechsel geplatzt! Transferschock für Werder
2020-10-05 16:50:02,Coronavirus in Deutschland: Zehn statt 14 Tage Quarantäne für Einreisende aus Risikogebieten
2020-10-05 11:45:01,"Kein Draxler,  kein Rashica: Wolfsburg sieht genug Qualität"
2020-10-05 06:20:01,"Polt kritisiert Begriff ""systemrelevant"": Sorge um Kultur"
2020-10-05 12:00:01,Fußgänger von Auto angefahren: 88-Jähriger stirbt
2020-10-05 05:45:02,Neun New Yorker Stadtvierteln droht erneuter Lockdown
2020-10-05 02:15:01,US-Präsident: Donald Trump zeigt sich Anhängern vor Krankenhaus
2020-10-05 17:15:02,Mainz 05 verleiht Abwehrspieler Nemeth nach Graz
2020-10-05 15:30:07,Vor der Party gibt’s den Schnelltest
2020-10-05 07:35:01,Bergung eines festgefahrenen Güterschiffs auf der Donau
2020-10-05 19:20:02,Gedenkbaum für vermisste Studentin - Yolanda ist seit einem Jahr verschwunden!
2020-10-05 17:40:02,Zu elft im VW Golf unterwegs - Schleuser-Wahnsinn an der Grenze in Bayern
2020-10-05 10:50:06,Antisemitischer Angriff in Hamburg: Ermittler werten Angriff vor Synagoge als versuchten Mord
